product_a,product_b,match_score,platform_a,platform_b,price_a,price_b,cheaper_platform,dearer_platform,cheaper_price,dearer_price,price_diff_inr,price_diff_pct
"Wild Stone Edge Eau De Parfum for Men, Long Lasting perfume, 100 ml",Wild Stone Leader Long Lasting Perfume Eau de Parfum  -  90 ml,81.81818181818181,Amazon.in,Flipkart,384.0,281.0,Flipkart,Amazon.in,281.0,384.0,103.0,26.8
"Wild Stone Hydra Energy Perfume for Men, 50ml",Wild Stone Hydra Energy Perfume for Men Eau de Parfum  -  30 ml,84.78260869565217,Amazon.in,Flipkart,233.0,176.0,Flipkart,Amazon.in,176.0,233.0,57.0,24.5
"Wild Stone Ultra Sensual Eau De Parfum For Men, 100ml",Wild Stone Ultra Sensual-Eau de Parfum Eau de Parfum  -  50 ml,83.6734693877551,Amazon.in,Flipkart,349.0,281.0,Flipkart,Amazon.in,281.0,349.0,68.0,19.5
"Wild Stone Edge Premium Perfume Spray For Men, 30Ml|Long Lasting Eau De Parfum|Luxury Fragrances",DJOKR Signature Perfume For Men | Premium Luxury Long Lasting Fragrance Spray Eau de Parfum  -  100 ml,81.56424581005587,Amazon.in,Flipkart,200.0,254.0,Amazon.in,Flipkart,200.0,254.0,54.0,21.3
"Engage Yang Eau De Parfum for Women, Floral and Fruity Fragrance Scent, Skin Friendly Perfume for Women, 100ml","Engage Yang Skin Friendly Women Perfume, Fruity Fragrance Scent, Ideal for Gifting Eau de Parfum  -  100 ml",82.05128205128204,Amazon.in,Flipkart,247.0,386.0,Amazon.in,Flipkart,247.0,386.0,139.0,36.0
"Yardley London Gentleman Royale Perfume for Men, 100 ml",Yardley London Gentleman Royale Daily Wear Perfume  -  100 ml,82.4742268041237,Amazon.in,Flipkart,324.0,409.0,Amazon.in,Flipkart,324.0,409.0,85.0,20.8
AHMED Blu Oud Long Lasting Unisex Eau De Parfum- 100ml,"BELLAVITA White Oud ,Long Lasting,Unisex Eau de Parfum  -  100 ml",80.0,Amazon.in,Flipkart,2599.0,565.0,Flipkart,Amazon.in,565.0,2599.0,2034.0,78.3
"Jannat ul Firdaus Attar, Fresh & Earthy Fragrance Unisex Non Alcoholic Long Lasting Attar for Men & Women - 6Ml",BELLAVITA TAAJ Jannat 12 ML Attar for Men & Women| Non-Alcoholic Long Lasting Fragrance Floral Attar,81.67539267015707,Amazon.in,Flipkart,209.0,299.0,Amazon.in,Flipkart,209.0,299.0,90.0,30.1
"Carolina Herrera Good Girl Eau De Parfum, 80Ml",Carolina Herrera Good Girl Eau De Parfum,100.0,Amazon.in,Nykaa,9477.0,6050.0,Nykaa,Amazon.in,6050.0,9477.0,3427.0,36.2
"Engage W1 Perfume Spray For Women, Fruity and Floral, Skin Friendly, 120ml","Engage W1 Perfume Spray For Women, Fruity & Floral, Skin Fri...",92.56198347107438,Amazon.in,Nykaa,180.0,240.0,Amazon.in,Nykaa,180.0,240.0,60.0,25.0
AHMED Blu Oud Long Lasting Unisex Eau De Parfum- 100ml,Ahmed Al Maghribi Awfa Long Lasting Unisex Eau De Parfum,81.55339805825243,Amazon.in,Nykaa,2599.0,9600.0,Amazon.in,Nykaa,2599.0,9600.0,7001.0,72.9
Aqualogica Refresh+ Sun Kissed Vanilla Perfume Body Mist  -  For Women,Aqualogica Refresh & Sun Kissed Vanilla Perfume Body Mist,91.66666666666666,Flipkart,Nykaa,356.0,499.0,Flipkart,Nykaa,356.0,499.0,143.0,28.7
BATH & BODY WORKS Into The Night Fine Fragrance Body Mist  -  For Women,Bath & Body Works Into The Night Fine Fragrance Mist,86.95652173913044,Flipkart,Nykaa,704.0,2299.0,Flipkart,Nykaa,704.0,2299.0,1595.0,69.4
