platform,search_term,product_name,brand,price_inr,mrp_inr,discount_pct,price_tier,rating,review_count,scraped_at
Amazon.in,perfume,Forest Essentials Travel Size Fragrant Body Mist Lime Saffron Oudh | Aloe Vera juice infused Perfume Spray to keep Skin Scented & Hydrated Through the Day,Forest,1495.0,1495.0,0.0,Mid-range,,,2026-04-24 14:14:56.275048+00:00
Amazon.in,perfume,HIRA After Hours Perfume for Men | Perfume for Men Long Lasting Smell | Best Men Perfume with Fresh & Woody Notes | Bold Night-Out & Date Fragrance | 50ml Eau De Parfum for Men,HIRA,899.0,,,Mid-range,,,2026-04-24 14:14:56.275551+00:00
Amazon.in,perfume,"Fastrack Men Perfume Wood Scent Spray Trance, 100 Ml",Fastrack,545.0,,,Mid-range,,,2026-04-24 14:14:56.276050+00:00
Amazon.in,perfume,"BELLAVITA Magical Scents | 4x20ml | Long Lasting EDP | Gift for Man and Woman | Perfume for Man and Woman | Vanilla, Caramel & Musk | Floral, Spicy Premium Fragrance for Men and Women",BELLAVITA,449.0,,,Budget,,,2026-04-24 14:14:56.276534+00:00
Amazon.in,perfume,"Wild Stone Edge Edp Premium Perfume For Men,100 Ml|Long-Lasting Eau De Parfum|Luxury Fragrances|Fragrance For Modern Lifestyle|Ideal Gift For Him|Premium Scent For Men",Wild,384.0,,,Budget,,,2026-04-24 14:14:56.276916+00:00
Amazon.in,perfume,"BELLAVITA CEO MAN and WHITE OUD Unisex | Long Lasting Perfume for Man & Woman | Eau De Parfum pack of 2x20ml each | Tonka, Agarwood & Orange | Woody, Spicy & Citrus Premium Fragrance",BELLAVITA,199.0,,,Budget,,,2026-04-24 14:14:56.277377+00:00
Amazon.in,perfume,"Beardo Whisky Smoke Eau De Parfum Men Spicy, Woody - Oudh Perfume For Men Long Lasting, Date Night Fragrance Body Spray For Men, 100ml",Beardo,456.0,,,Budget,,,2026-04-24 14:14:56.277759+00:00
Amazon.in,perfume,"Wild Stone Ultra Sensual Perfume Spray for Men, 100ml, A Sensory Treat for Casual Encounters, Aromatic Blend of Masculine Fragrances",Wild,384.0,,,Budget,,,2026-04-24 14:14:56.278218+00:00
Amazon.in,perfume,"Wild Stone CODE Acqua Eau De Parfum For Men, 100ml Luxury Long Lasting Fragrance, Fresh, Sparkling & Energising Premium Perfume Spray",Wild,532.0,,,Mid-range,,,2026-04-24 14:14:56.278592+00:00
Amazon.in,perfume,Park Avenue Voyage Signature Collection | Liquid Perfume For Men | Fresh Long-Lasting Aroma Amazon Woods Premium Perfume | 120Ml,Park,280.0,,,Budget,,,2026-04-24 14:14:56.279067+00:00
