platform,product_name,price_tier,current_price,tier_avg_price,pct_of_avg,recommendation,suggested_price
Amazon.in,"Dior Fahrenheit Eau De Toilette Spray For Men, 100ml (Wood)",Luxury,15899.0,15220.0,104.5,Competitively Priced,15899.0
Amazon.in,Dolce & Gabbana The One Eau De Parfum - 100 Ml / 3.4 Oz,Luxury,13500.0,15220.0,88.7,Competitively Priced,13500.0
Amazon.in,"Cologne - Musk, Lime & Patchouli | Long Lasting & Sophisticated scent | With Skin Nourishing Ingredients",Premium,4200.0,3561.0,117.9,Competitively Priced,4200.0
Amazon.in,"4711 Echt Kölnisch Wasser Original Eau de Cologne for Men | Fresh Citrus Aromatic Cologne | Bergamot, Lemon, Orange, Lavender, Rosemary & Neroli | Long Lasting Classic Masculine Fragrance | Daily Wear Cologne Spray | Gift for Him| 300ml",Premium,4037.0,3561.0,113.4,Competitively Priced,4037.0
Amazon.in,"Cremo Cologne For Men - Spice Black Vanilla Mens Cologne Spray, An Explosion of Vibrant Spices, Dark Woods and Black Vanilla, Multi-Layered Signature Mens Fragrances, 3.4 Fl Oz.",Premium,3995.0,3561.0,112.2,Competitively Priced,3995.0
Amazon.in,4711 Acqua Colonia Blood Orange & Basil Eau de Cologne - 170 ml For Unisex,Premium,3824.0,3561.0,107.4,Competitively Priced,3824.0
Amazon.in,Lattafa Atlas Unisex Eau De Parfum 55ML - LUP Atlas 55,Premium,3630.0,3561.0,101.9,Competitively Priced,3630.0
Amazon.in,"Lattafa Khamrah | Long Lasting Perfume For Man & Perfume for Woman | EDP 100ml | Vanilla, Warm Spicy, Woody, Cinnamon Premium Fragrance",Premium,3630.0,3561.0,101.9,Competitively Priced,3630.0
Amazon.in,Lattafa Khamrah Long Lasting Eau de Parfum Unisex Perfume 100Ml,Premium,3630.0,3561.0,101.9,Competitively Priced,3630.0
Amazon.in,Lattafa,Premium,3630.0,3561.0,101.9,Competitively Priced,3630.0
Amazon.in,"AFNAN 9 PM Edition For Men Eau De Parfum Spray, 100 ML",Premium,3605.0,3561.0,101.2,Competitively Priced,3605.0
Amazon.in,ICE EAU DE COLOGNE 400ml,Premium,3499.0,3561.0,98.3,Competitively Priced,3499.0
Amazon.in,4711 Acqua Colonia Refreshing Lagoons Of Laos Eau de Cologne - 170ml (For Men & Women),Premium,3419.0,3561.0,96.0,Competitively Priced,3419.0
Amazon.in,4711 Acqua Colonia Pure Breeze Of Himalaya Eau de Cologne - 170ml (For Men & Women),Premium,3419.0,3561.0,96.0,Competitively Priced,3419.0
Amazon.in,Forest Essentials,Premium,3275.0,3561.0,92.0,Competitively Priced,3275.0
Amazon.in,Lattafa Eclaire Long Lasting Perfume For Men & Women Eau De Parfum 100ml,Premium,3248.0,3561.0,91.2,Competitively Priced,3248.0
Amazon.in,POLICE,Premium,3185.0,3561.0,89.4,Competitively Priced,3185.0
Amazon.in,4711 Echt Kolnisch Wasser Eau de Cologne Eau de Cologne - 200 ml (For Men & Women),Premium,3102.0,3561.0,87.1,Competitively Priced,3102.0
Amazon.in,Lattafa Yara Long Lasting Perfume For Women Eau De Parfum 100ml,Premium,2970.0,3561.0,83.4,Competitively Priced,2970.0
Amazon.in,AHMED Kaaf For Men Long Lasting Eau De Parfum -100ml,Premium,2958.0,3561.0,83.1,Competitively Priced,2958.0
Amazon.in,JAGUAR,Premium,2940.0,3561.0,82.6,Competitively Priced,2940.0
Amazon.in,The Body Shop,Mid-range,1087.0,916.0,118.7,Competitively Priced,1087.0
Amazon.in,"Contraband Eau De Parfum - You Again | Discovery Size | Aquatic, Musk and Amber Fragrance Notes | Fresh & Long Lasting Spray Perfume For Men & Women | 20 ml",Mid-range,1063.0,916.0,116.1,Competitively Priced,1063.0
Amazon.in,Jovan Musk by Jovan For Women. Cologne Spray 2-Ounces,Mid-range,1046.0,916.0,114.2,Competitively Priced,1046.0
Amazon.in,"Dark Knight Extrait de Parfum, Premium Fragrance with Indian Ginger, Basil, Jasmine, Vetiver Notes, 50ml",Mid-range,1044.0,916.0,114.0,Competitively Priced,1044.0
